    1    0.9703088042E-02
    2    0.1526483015E-02
    3    0.1249044624E-02
    4    0.1015517102E-02
    5    0.8305627060E-03
    6    0.6814812132E-03
    7    0.5603708091E-03
    8    0.4615497921E-03
    9    0.3806961440E-03
   10    0.3143671002E-03
   11    0.2598721723E-03
   12    0.2150072083E-03
   13    0.1780336398E-03
   14    0.1475131088E-03
 
    1    0.7724278726E-02
    2    0.5377869685E-02
    3    0.3177158082E-02
    4    0.1927950353E-02
    5    0.1129388043E-02
    6    0.6995599334E-03
    7    0.4735139208E-03
    8    0.3892062796E-03
    9    0.3560885060E-03
   10    0.3353317638E-03
   11    0.3118421622E-03
   12    0.2845650024E-03
   13    0.2551802011E-03
   14    0.2255893231E-03
 
    1    0.1322500476E-03
    2    0.1103571252E-04
    3    0.8168308646E-05
    4    0.6196536541E-05
    5    0.4893226629E-05
    6    0.4064668118E-05
    7    0.3544108947E-05
    8    0.3201938958E-05
    9    0.2950890048E-05
   10    0.2741339831E-05
   11    0.2548570945E-05
   12    0.2362512274E-05
   13    0.2180209162E-05
   14    0.2002053104E-05
 
 
