  -0.2500000037E-01    0.1051232732E+01
   0.1750000026E+00    0.1051320462E+01
   0.3750000056E+00    0.1051441240E+01
   0.5750000086E+00    0.1051607499E+01
   0.7750000115E+00    0.1051836328E+01
   0.9750000145E+00    0.1052151207E+01
   0.1175000018E+01    0.1052584368E+01
   0.1375000020E+01    0.1053180001E+01
   0.1575000023E+01    0.1053998588E+01
   0.1775000026E+01    0.1055122722E+01
   0.1975000029E+01    0.1056664824E+01
   0.2175000032E+01    0.1058777246E+01
   0.2375000035E+01    0.1061665188E+01
   0.2575000038E+01    0.1065602696E+01
   0.2775000041E+01    0.1070951458E+01
   0.2975000044E+01    0.1078181015E+01
   0.3175000047E+01    0.1087886893E+01
   0.3375000050E+01    0.1100799741E+01
   0.3575000053E+01    0.1117773596E+01
   0.3775000056E+01    0.1139735941E+01
   0.3975000059E+01    0.1167579259E+01
   0.4175000062E+01    0.1201979879E+01
   0.4375000065E+01    0.1243153497E+01
   0.4575000068E+01    0.1290601134E+01
   0.4775000071E+01    0.1342949009E+01
   0.4975000074E+01    0.1398000043E+01
   0.5175000077E+01    0.1453051075E+01
   0.5375000080E+01    0.1505398945E+01
   0.5575000083E+01    0.1552846573E+01
   0.5775000086E+01    0.1594020181E+01
   0.5975000089E+01    0.1628420791E+01
   0.6175000092E+01    0.1656264100E+01
   0.6375000095E+01    0.1678226437E+01
   0.6575000098E+01    0.1695200285E+01
   0.6775000101E+01    0.1708113127E+01
   0.6975000104E+01    0.1717819002E+01
   0.7175000107E+01    0.1725048555E+01
   0.7375000110E+01    0.1730397315E+01
   0.7575000113E+01    0.1734334821E+01
   0.7775000116E+01    0.1737222762E+01
   0.7975000119E+01    0.1739335182E+01
   0.8175000122E+01    0.1740877284E+01
   0.8375000125E+01    0.1742001417E+01
   0.8575000128E+01    0.1742820004E+01
   0.8775000131E+01    0.1743415636E+01
   0.8975000134E+01    0.1743848797E+01
   0.9175000137E+01    0.1744163677E+01
   0.9375000140E+01    0.1744392505E+01
   0.9575000143E+01    0.1744558764E+01
   0.9775000146E+01    0.1744679542E+01
   0.9975000149E+01    0.1744767272E+01
 
